time,latitude,longitude,depth
1979-04-24T20:18:50.500Z,37.43,139.481,20
1983-05-08T05:54:08.040Z,37.214,139.898,128.2
1985-12-15T21:27:26.560Z,37.16,140.079,34.8
1986-03-25T04:00:43.360Z,37.262,139.423,144
1987-12-20T09:58:51.940Z,37.424,139.761,22.1
1989-05-07T23:49:41.950Z,37.153,139.039,153.2
1994-12-18T11:07:33.520Z,37.373,139.799,14.5
1994-12-18T12:51:59.670Z,37.293,139.844,33
1998-08-03T11:09:35.570Z,37.189,139.934,33
2003-10-21T23:21:43.750Z,37.384,140.12,10
2004-09-07T12:40:56.870Z,37.321,138.968,8.6
2004-10-23T08:59:37.350Z,37.268,138.866,10
2004-10-23T09:03:12.530Z,37.318,138.816,10.5
2004-10-23T09:34:04.990Z,37.318,138.808,10
2004-10-23T09:47:01.890Z,37.175,138.942,10
2004-10-23T09:51:01.180Z,37.187,138.928,10
2004-10-23T09:54:35.280Z,37.357,138.808,10
2004-10-23T12:44:28.390Z,37.24,138.897,10.8
2004-10-24T14:00:31.380Z,37.05,138.928,15.3
2004-10-27T01:40:50.260Z,37.284,138.885,14.1
2004-10-27T01:45:34.400Z,37.299,138.873,10
2004-11-05T17:53:21.400Z,37.338,138.884,10
2004-11-08T02:15:58.840Z,37.396,138.862,10
2004-11-08T02:27:10.430Z,37.327,138.836,10
2004-11-08T02:32:16.960Z,37.391,138.896,10
2004-11-08T19:15:59.690Z,37.295,138.811,10
2004-11-09T18:43:08.400Z,37.368,138.825,10.3
2004-11-15T00:39:34.980Z,37.333,138.802,18.9
2005-01-18T12:50:34.000Z,37.331,138.867,20.7
2007-01-08T09:59:39.540Z,37.169,138.815,46.2
2010-09-29T03:02:01.990Z,37.268,139.949,42.1
2010-09-29T08:00:00.500Z,37.257,139.883,33.3
2011-03-13T03:01:29.960Z,37.185,140.139,47.5
2011-03-14T03:09:55.410Z,37.338,139.148,35
2012-03-03T17:48:35.200Z,37.087,139.391,81.7
2013-04-21T10:27:36.580Z,37.453,139.953,43.3
2014-04-07T20:07:56.930Z,37.3491,138.8183,13.1
2018-02-18T10:01:41.630Z,37.1425,140.1271,106.04
2019-03-25T18:30:21.149Z,37.4211,140.3141,99.44
2025-01-22T17:49:29.759Z,37.0225,139.311,10
